Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2022-12-31,1218.0,0.0,1218.0,354.0,21.0,-97.0,318.0,65.0,62.0,273.0,222.0,26.0,248.0,4.0,244.0,0.0,244.0,54.0,190.0,0.0,190.0,255.0,7.46,7.46,0.0,0.0,0.0,0.0,0.0
2023-03-31,1302.0,0.0,1302.0,291.0,20.0,26.0,0.0,85.0,63.0,621.0,196.0,63.0,259.0,10.0,249.0,0.0,249.0,36.0,213.0,0.0,213.0,255.0,8.35,8.35,0.0,0.0,0.0,0.0,0.0
2023-06-30,1135.0,0.0,1135.0,213.0,44.0,20.0,0.0,72.0,66.0,497.0,223.0,194.0,417.0,11.0,406.0,0.0,406.0,78.0,328.0,0.0,328.0,255.0,12.88,12.88,0.0,0.0,0.0,0.0,0.0
2023-09-30,1066.0,0.0,1066.0,259.0,18.0,9.0,0.0,82.0,71.0,510.0,117.0,69.0,186.0,15.0,171.0,102.0,273.0,37.0,236.0,0.0,236.0,255.0,9.26,9.26,0.0,0.0,0.0,0.0,0.0
2023-12-31,1093.0,0.0,1093.0,294.0,9.0,-16.0,0.0,69.0,76.0,531.0,130.0,22.0,152.0,12.0,140.0,0.0,140.0,25.0,115.0,0.0,115.0,255.0,4.51,4.51,0.0,0.0,0.0,0.0,0.0
2024-03-31,1090.0,0.0,1090.0,237.0,15.0,11.0,0.0,76.0,82.0,559.0,110.0,98.0,208.0,11.0,197.0,0.0,197.0,-20.0,217.0,0.0,217.0,255.0,8.51,8.51,0.0,0.0,0.0,0.0,0.0
2024-06-30,1047.0,0.0,1047.0,231.0,9.0,6.0,224.0,70.0,87.0,272.0,148.0,187.0,335.0,13.0,322.0,0.0,322.0,66.0,256.0,15.0,271.0,255.0,10.64,10.64,0.0,0.0,0.0,0.0,0.0
2024-09-30,1009.0,0.0,1009.0,252.0,8.0,3.0,0.0,81.0,90.0,521.0,54.0,95.0,149.0,32.0,117.0,0.0,117.0,18.0,99.0,0.0,99.0,255.0,3.89,3.89,0.0,0.0,0.0,0.0,0.0
2024-12-31,1166.0,0.0,1166.0,354.0,7.0,-71.0,275.0,79.0,92.0,313.0,117.0,16.0,133.0,50.0,83.0,0.0,83.0,11.0,72.0,0.0,72.0,255.0,2.83,2.83,0.0,0.0,0.0,0.0,0.0
2025-03-31,1219.0,0.0,1219.0,304.0,22.0,54.0,248.0,63.0,100.0,298.0,130.0,21.0,151.0,49.0,102.0,0.0,102.0,5.0,97.0,18.0,115.0,255.0,4.51,4.51,0.0,0.0,0.0,0.0,0.0
